Artikel,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
NESTLE MILO PEEL OFF 32GR POSITIVE #43993788      ,7,REVERSE,NY-01,15,830
67682948 ROLL KNORR 200G AWI SAC UNICODE          ,7,REVERSE,PET,9,990
LID CUP GOLCO 180ML                               ,5,REVERSE,PET,12,1120
44135204 MILO FIESTA 32 G                         ,7,REVERSE,NY-01,15,830
BAG BEAUTY ANTI STRESS 450GR                      ,6,REVERSE,OPP,20,1060
AL.FOIL CLOUD NINE LATTE 20G (E-1)                ,6,SURFACE,PET,12,1070
AL.FOIL CLOUD NINE CMIX 20G (E-1)                 ,5,REVERSE,PET,12,1050
COFFEE 7 DURIAN COFFEE                            ,8,SURFACE,PET-G,12,985
AL.FOIL IND CMIX JAHE 25G (L-0)                   ,8,REVERSE,OPP - G,20,1170
WOODS HONEY LEMON ROLL ISI 2 PCS                  ,8,SURFACE,PET-G,12,985
WOODS LEMON REV FR UMUM OUTER-CH0263              ,7,REVERSE,OPP,20,840
68376034 WALLS SANDWICH LINE FRIENDS 80ML-EXPORT  ,7,SURFACE,OPP PEARLIZE,35,980
AL.FOIL IND CMIX SB 3IN1 20G (MIT)                ,7,REVERSE,PET,12,1050
AL.FOIL INDOCREAMER 400GR (E)                     ,7,REVERSE,PET,12,1110
SEAGULL SG522 N150GR (BAG SG522)                  ,7,REVERSE,OPP,20,950
KUSUKA 20GR RASA AYAM MADU                        ,7,REVERSE,PET,12,930
KTG SP 360 LYCHEE U/ EXPORT                       ,8,REVERSE,NY-01,15,770
TWBO-SU-K-020-RL-004(TWB SUSU R4)                 ,5,REVERSE,PET-G,12,1070
STD POUCH OATSY 500 GR KOMBINASI                  ,8,SURFACE,PET-G,12,1080
C06716 ALFOIL SAM BAWANG PDS 8GR 12UP NONSPLIT    ,7,REVERSE,PET-G,9,960
6029805 ROLL OUTER P4 NORI ORI COVID-19           ,5,REVERSE,OPP - G,20,1170
"GIM SNACK 7,2 GR KOMBINASI                        ",8,REVERSE,PET-G,9,1120
68146938 ROLL BANGO 20ML BIMASENA CKR SBG         ,6,REVERSE,PET-G,12,990
TWBO-MN-K-020-RL-006(TWB MANIS R6)                ,7,REVERSE,PET,12,1070
TWBO-MB-K-020-RL-002(TWB MYSTERIOUS)              ,6,REVERSE,PET,12,1070
PF ASLI 9G ML12 (3600-5C) - 421001342             ,5,REVERSE,PET-G,12,930
AL.FOIL CLOUD NINE WHITE COFFEE 26G (E-1)         ,6,SURFACE,PET,12,1070
GGWF-KE-K-018-RL-001(GETGIT KEJU 18G)             ,7,REVERSE,PET,12,1020
BAG GINGER ORI CHEWS 4OZ 113G (FLAT BOTTOM)       ,8,REVERSE,OPP - G,20,990
3001018 POUCH KISPRAY SEGERIS 300ML R1            ,6,REVERSE,PET-G,12,1000
PM00012137 BAG WIP SOS ANTIBAC 10 EF10 GUSSET     ,7,REVERSE,OPP - G,20,985
3001019 POUCH KISPRAY VIOLET 300ML R1             ,6,REVERSE,PET-G,12,1000
3001017 POUCH  KISPRAY BLUIS 300ML R1             ,6,REVERSE,PET-G,12,1000
PM00012138 BAG WIP SOS ANTIBAC 50 EF20 ROLL       ,7,REVERSE,OPP - G,20,960
KUSUKA TALAS 68GR RASA SAPI PANGGANG              ,8,REVERSE,PET-G,12,880
STD POUCH HAND SANITIZER DETTOL 450ML             ,8,REVERSE,PET,12,1150
6033408 ROLL SAOS TOMAT 500GR ND                  ,7,REVERSE,NY-01,15,880
6033407 ROLL SAOS SAMBAL 500GR ND                 ,7,REVERSE,NY-01,15,880
6031773 BAG RTC TOPOKKI ORI 134GR ( 3 LAYER )     ,7,REVERSE,OPP - G,20,990
ETK HS EW 13GR PROD HSN NA18190905036             ,6,REVERSE,OPP - G,20,990
107289STD POUCH DELMONTE TOMAT 1 KG               ,7,REVERSE,NY-01,15,1120
I07184 SAUS SAMBAL SABANA 6UP 10GR ND QR          ,5,REVERSE,PET-G,12,990
CHOICE L BUBUK PEMBERSIH 650G                     ,4,REVERSE,OPP - G,20,1100
GGWF-LN-K-102-RL-001(GETGIT LEMON 102G)           ,7,REVERSE,PET-G,12,985
ROLL BANANA CHIP CHILI LIME 70G                   ,7,REVERSE,OPP MATTE,20,1050
107290 STD POUCH DELMONTE EXTRA HOT 1 KG*         ,7,REVERSE,NY-01,15,1120
68498873 RL TWISTER MERMAID 55ML EXPORT THAILAND  ,7,SURFACE,OPP PEARLIZE,35,1020
67571943 WRP PP TWISTER MARSHMALLOW 60ML EXPORT   ,6,SURFACE,OPP PEARLIZE,35,1020
68153478 WRP FEAST DOUBLE VANILLA 75ML NEW DESIGN ,5,SURFACE,OPP PEARLIZE,35,920
68270957 WALLS GOLD FEAST CHOCO 65ML              ,5,SURFACE,OPP PEARLIZE,35,920
LID MINI JELLY MANGO D24 BEKASI ND 4000148        ,6,REVERSE,NY-02,15,650
LID MINI JELLY MANGO D24 PANDAAN ND               ,6,REVERSE,NY-01,15,650
GOLDEN FARM SHOESTRING 1 KG ROLL QR CODE          ,6,REVERSE,OPP - G,20,950
GOLDEN FARM CRINKLE CUT 1 KG QR CODE              ,6,REVERSE,OPP - G,20,950
GOLDEN FARM STRAIGHT CUT 1 KG ROLL QR CODE        ,6,REVERSE,OPP - G,20,950
MISS JOVAN BRIGHTENING 250ML STD POUCH            ,4,REVERSE,NY-01,15,890
INNER KOPI TOP MURNI 158G(43000595)               ,8,SURFACE,PET-G,12,950
PAID SAMPLE STP DISWASH CUPIR 450 ML              ,7,REVERSE,NYLON,15,1130
MARIMAS KELAPA MUDA 7GR MLT MAY'23                ,8,REVERSE,PET-G,12,935
68715252 ROLL LIFEBUOY LEMON FRESH 400ML ARGO     ,8,REVERSE,NY-01,15,1100
68134007 STD POUCH SARIMURNI RB20 SAGA            ,6,REVERSE,PET-G,9,820
OUTER MATGIM NORI ISI 2 NEW                       ,6,REVERSE,OPP - G,20,1170
PM00012013 BAG WIP MYB 50 AB ROLL R1              ,7,REVERSE,OPP,20,900
BAG BERAS PUTRI LAUT 10KG                         ,6,REVERSE,NY-01,15,770
ALF DL INSTANT CEREAL 25G LONG STRING-1177292,8,REVERSE,PET-G,12,1050
REEL NUTRIBIRD UNIBIRD 50GR                       ,6,REVERSE,PET-G,12,1130
PLVC BND BAKSO SAPI GOLD                          ,8,REVERSE,NY-01,15,950
BAG GINGERBON LEMON CHEWS 227G FLAT BOTTOM        ,8,REVERSE,OPP - G,20,1170
LID MINI JELLY MELON D24 BEKASI ND 4000405        ,6,REVERSE,NY-01,15,650
44135114 HONEY STAR FIESTA 32 G                   ,6,REVERSE,NY-01,15,830
CHOCONUT 50ML IM 1 31 DES 2023 (NEW DESIGN)       ,6,REVERSE,OPP-G,20,960
ROLL SUSU KAMBING SHANGOAT ETAWA 20GR             ,6,REVERSE,OPP - G,20,1110
LID MINI JELLY STRAWBERRY D24 BEKASI ND 4000146   ,6,REVERSE,NY-02,15,650
2000319 KRIZZI CHEESE 55G                         ,8,REVERSE,PET-G,12,1070
2000320 KRIZZI BBQ 55G                            ,8,REVERSE,PET-G,12,1070
LID MINI JELLY GRAPE D24 PANDAAN ND               ,6,REVERSE,NY-01,15,650
LID MINI JELLY ORANGE D24 PANDAAN ND              ,5,REVERSE,NY-01,15,650
GGWF-LN-K-018-RL-001(GETGIT LEMON)                ,7,REVERSE,PET-G,12,1020
67571539 ROLL KNORR ROSTIP 1KG JAYA AWI UNICODE   ,7,REVERSE,PET,9,1170
67571536 ROLL KNORR CHIC PWD 1KG JAYA UNICODE     ,7,REVERSE,PET-G,9,1170
MARIMAS JAMBU BIJI 7GR MLT NO EXP                 ,8,REVERSE,PET-G,12,935
44135206 NESTLE KK KRUNCH MAXX FIESTA 42G         ,5,REVERSE,NY-01,15,830
KUSUKA TALAS 68GR RASA PEDAS DAUN JERUK NEW TEKS  ,8,REVERSE,PET-G,12,880
MAT GIM NORI PANGGANG 5 GR                        ,8,REVERSE,PET-G,12,1070
6031603 ROLL TPG KENTUCKY 70GR                    ,8,SURFACE,PET-G,12,1120
6031548 ROLL TPG BAKWAN 80GR                      ,8,SURFACE,PET-G,12,1120
SUPER ZUPER ASSORTED ROLL VIETNAM                 ,8,SURFACE,PET-G,12,990
HEXO-BM-K-005-SC-006(HEXOS BARLEY MINT)           ,5,REVERSE,OPP - G,25,850
68504803 ROLL CHAI LATTE CLASSIC 23G              ,7,REVERSE,PET-G,12,1050
STP SAMBAL DUA BELIBIS 1KG ND(PB-051801)          ,6,REVERSE,PET-G,12,1100
PB-051702 ROLL SAUS TOMAT DUA BELIBIS 9G REV QR   ,6,REVERSE,PET,12,990
PPLS069 - TULIP CHOCOLATIER DC 1KG ING            ,7,REVERSE,PET-G,12,890
15002673 BAG PREMIUM CHIKCEN SAUSAGE ORIGINAL 300G,8,REVERSE,NY-01,15,840
FH BEEF BURGER PIZZA                              ,5,REVERSE,NY-01,15,740
CHEERFUL DAY DETERGENT 1.8KG                      ,6,REVERSE,PET-G,12,780
ALF FC MM CEREAL VANILLA 25G-1178901              ,8,REVERSE,PET-G,12,1050
DAHLIA K31 FRESH FRUITY (BAG K31 FR)              ,8,REVERSE,PET-G,12,1050
BAG F605 OUTER FRESHGO EXOTIC FLOWER ND           ,8,REVERSE,PET-G,12,920
SEAGULL SG580                                     ,7,REVERSE,OPP,20,910
SACHET INNER TERASI OMAKU 4.5GR                   ,6,REVERSE,PET-G,12,1150
3001289 FOIL VEGETA HERBAL R1                     ,6,REVERSE,PET-G,12,1150
"LMNT,DETOL,GR,HW ALOE 500ML(3151240)SPOT          ",8,REVERSE,PET-G,12,1020
"LMNT,DETOL,MY,BW HONEY 500G ONZ(3122123)          ",8,REVERSE,NY-01,15,1030
P0004215 P.ROLL JUMBO CHA MILK CHOC 7GR 8LINE     ,8,REVERSE,PET-G,12,1050
P0004212 P.ROLL JUMBO CHA PEANUT 7GR 7LINE        ,8,REVERSE,PET-G,12,930
3001016 POUCH KISPRAY AMORIS 300ML R1             ,6,REVERSE,PET-G,12,1000
"6031785 ROLL WIJEN 1,5GR                          ",1,REVERSE,OPP-G,20,1080
6031550 ROLL TP BAKSO HALUS 32GR                  ,8,SURFACE,PET-G,12,1170
6031546 ROLL TPG TEMPE GORENG KRISPI 70GR         ,8,SURFACE,PET-G,12,1120
6031604 ROLL TP KENTUCKY 210GR                    ,8,SURFACE,PET-G,12,1020
"AL.FOIL DRIP COFFEE BALI,JAVA,MANDHELING 10G ASS.1",8,SURFACE,PET-G,12,1185
BAKERINE PLUS 500G # 678928085019                 ,4,REVERSE,PET,12,1020
ROLL BUMBU NASI UDUK MULTILINE ND                 ,8,REVERSE,PET-G,12,930
6029047 ROLL TEPUNG HOREKA                        ,2,REVERSE,OPP - G,20,900
CAFFINO KOPI LATTE CLASSIC 20GR DRY               ,8,SURFACE,PET-G,12,1120
STD POUCH DELMONTE BBQ 1 KG ND                    ,7,REVERSE,NY-01,15,1120
I07155 STD POUCH MAESTRO MUSTARD 1 KG             ,8,REVERSE,NY-01,15,1120
68715260 ROLL LIFEBUOY COOL FRESH 400ML ARGO      ,8,REVERSE,NY-01,15,1100
STP O-MAYO SAKURA SAUS MAYO 1KG                   ,6,REVERSE,NY-01,15,1160
I07295 POUCH DELMONTE SPAGHETTI 250 GR            ,7,REVERSE,PET-G,12,800
107292 POUCH DELMONTE TOMATO 200GR CILEUNGSI      ,7,REVERSE,PET-G,12,800
I07296 POUCH DELMONTE BBQ 250 GR                  ,7,REVERSE,PET-G,12,800
107293 POUCH DELMONTE EXTRA HOT 200GR ND          ,7,REVERSE,PET,12,800
POLYBAG SAUS TOMAT 9G NEW LOGO (421000858)        ,8,REVERSE,OPP - G,20,1110
POLYBAG EXTRA PEDAS 9G NEW LOGO (421000855)       ,7,REVERSE,OPP,20,1110
ROLL CUCU POP STRAWBERRY 9G                       ,5,REVERSE,OPP - G,20,900
68607535 REEL LIFEBUOY LEMON FRESH 250ML ARGO     ,8,REVERSE,PET-G,12,930
68607534 REEL LIFEBUOY COOL FRESH 250ML ARGO      ,8,REVERSE,PET-G,12,930
"AL.FOIL DRIP COFFEE FLORES,CIVET,ORGANIK 10G ASS.2",8,SURFACE,PET-G,12,1185
CAFFINO CAPPUCCINO TOPPING                        ,7,SURFACE,PET-G,12,925
ETK MDRS JERUK 8LINE 25G 750M(ND4)                ,6,REVERSE,OPP,20,1020
ROLL CUCU POP ORANGE 9G                           ,6,REVERSE,OPP - G,20,900
68607536 REEL LIFEBUOY MILD CARE 250ML ARGO       ,8,REVERSE,PET-G,12,930
68607537 REEL LIFEBUOY TOTAL 10 250ML ARGO        ,8,REVERSE,PET-G,12,930
44085355 NESCAFE FLOW WRAP SMALL                  ,2,REVERSE,OPP - G,20,950
1FE008010 FOIL EXTRA JOSS ACTIVE DELTAMAS ND      ,7,REVERSE,PET-G,12,760
68370640 ROLL WRP WALLS SERU MOCHI VANILA 45ML    ,5,SURFACE,OPP PEARLIZE,35,980
EDO CHOCO VOLCANO 300G NEW DESIGN                 ,7,REVERSE,OPP - G,20,870
EDO PANCAKE ORIGINAL 165G (NEW TEXT-2021)         ,7,REVERSE,OPP - G,20,810
STP WIZ GREEN 400ML(14010879)                     ,8,REVERSE,PET-G,12,840
PROSPER 85WP 1KG                                  ,8,REVERSE,PET-G,12,985
TRIBUNE 54.2/15 WP 400GR                          ,8,REVERSE,PET-G,12,925
C06691 POUCH SAMBAL ASLI 75GR                     ,7,REVERSE,PET-G,12,1090
107312 STD POUCH MAESTRO OYSTER 180GR             ,8,REVERSE,PET-G,12,800
BAG RELAXA PLAY FROZEN 40GR (NEW 2019)            ,8,REVERSE,PET-G,12,1170
ROLL INNER NORI RUMPUT LAUT BBQ                   ,8,REVERSE,PET-G,12,1070
6031539 ROLL INNER NORI JAGUNG BAKAR              ,8,REVERSE,PET-G,12,1070
68715251 RL LIFEBUOY TOTAL10 400ML ARGO           ,7,REVERSE,NY-01,15,1100
ROLL INNER NORI RUMPUT LAUT PEDAS                 ,7,REVERSE,PET-G,12,1070
ROLL INNER NORI ORI (6027867)                     ,7,REVERSE,PET-G,12,1070
ROLL INNER NORI SALTED EGG                        ,8,REVERSE,PET-G,12,1070
POLYROLL PFDNS015                                 ,7,REVERSE,PET-G,12,1060
IKUA002117 ROLL KUACI REBO ORIGINAL 6GR NEWSIZE   ,8,REVERSE,OPP - G,20,1050
ROLL TP ROTI WHITE 200 (6027887)                  ,8,REVERSE,OPP - G,20,1110
6029088 POUCH HOT LAVA 1KG                        ,7,REVERSE,NY-01,15,1120
6027580 STP PASTA ARABIATA 315GR REV              ,7,REVERSE,PET-G,12,1020
6029801 ROLL OUTER P2 NORI SPICY COVID-19         ,5,REVERSE,OPP - G,20,1170
6029800 ROLL OUTER P2 NORI BBQ COVID-19           ,5,REVERSE,OPP - G,20,1170
POUCH NESTLE KK MAXX 120G ZIPPER 43896145         ,6,REVERSE,PET,9,1030
67801072 WRAPPER WALLS SOLERO SEMANGKA 55ML       ,5,SURFACE,OPP PEARLIZE,35,920
KANGAROO-SALTED PISTA 250G STP ZIP(R1)            ,8,REVERSE,OPP MATTE,20,1040
AL.FOIL IND CAPPUCCINO 25G(E-2)                   ,7,REVERSE,OPP MATTE,20,1170
AL.FOIL INDOCAFE CMIX SB 20G (E-2)                ,7,REVERSE,PET-G,12,1050
BAG BERAS 2KG                                     ,1,REVERSE,NY-01,15,1010
15002428 BAG SOSIS AYAM SEDAP 500G REV DES        ,7,REVERSE,NY-01,15,1120
TWBO-KE-K-020-RL-006(TWB KEJU-R6)                 ,6,REVERSE,PET-G,12,1070
68648209 REEL ROYCO FDS BEEF 230G CHINGFONG AWI   ,4,REVERSE,PET-G,12,1165
CAFFINO CLASSIC 20GRX10 OUTER POUCH               ,8,REVERSE,PET-G,12,1120
TWBO-AS-K-020-RL-006(TWB ASIN 20G)R6              ,8,REVERSE,PET,12,1070
LMNT SAGTN DE FHW ROSE 250GR(3151231)             ,6,REVERSE,NY-01,15,860
ROLL BANANA CHIP SIMPLY SALTED 70G                ,7,REVERSE,OPP MATTE,20,1050
INNER TOP KOPI MURNI TORAJA 158G ND-43000702      ,8,REVERSE,PET-G,12,950
POLYROLL PFZPO040                                 ,8,REVERSE,PET-G,12,680
68134005 SACHET SARIMURNI RB6 SAGA NEW EXP AUG 22 ,6,REVERSE,PET-G,9,920
MARIMAS MANGGA ARUMANIS MLT AUG'23                ,8,REVERSE,PET-G,12,935
107245 STD POUCH THOUSAND ISLAND 180GR            ,8,REVERSE,PET-G,12,800
GOLDEN FARM CRINKLE CUT 500G ROLL QR CODE         ,6,REVERSE,OPP - G,20,1170
GOLDEN FARM SHOESTRING 500G ROLL QR CODE          ,6,REVERSE,OPP - G,20,1170
ROLL FACEMASK KOREAN HERBAL 7G REV DES            ,7,SURFACE,PET-G,12,930
ROLL FACEMASK ASIAN HERITAGE 7G REV DES           ,7,SURFACE,PET-G,12,930
GOLDEN FARM STRAIGHT CUT 500G RL QR CODE          ,6,REVERSE,OPP - G,20,1170
ETIKET WFP 50GR YAMAN                             ,5,REVERSE,PET-G,12,1165
POUCH BARCO 2L (NEW)                              ,6,REVERSE,PET-G,12,1240
SSP3047                                           ,5,REVERSE,NY-01,15,940
68558391 ROLL ROYCO FDS CHICKEN 230G PICO         ,4,REVERSE,PET-G,12,1170
KUSUKA 180GR RASA JAGUNG AMERIKA                  ,8,REVERSE,PET,12,990
AL.FOIL IND CAPPUCINO 25G (L-6)                   ,7,REVERSE,OPP MATTE,20,1165
LADAKU STP WHITE PEPPER NEW+ZIPPER                ,7,REVERSE,PET-G,12,930
"LID CUP METZ ""CHOYO""                              ",1,REVERSE,PET-G,12,960
STD POUCH MC LEWIS MAYO C001 1KG-BIRU ND          ,6,REVERSE,PET-G,12,1080
STD POUCH MCLEWIS MAYO C008 1KG KUNING ND         ,7,REVERSE,PET-G,12,1080
6033196 BAG STP BOLOGNESE 1KG                     ,1,REVERSE,NY-01,15,1110
MC LEWIS SAUS BBQ 1 KG                            ,6,REVERSE,PET-G,12,1100
SHAN GOAT GULA AREN 20GR                          ,6,REVERSE,OPP - G,20,1110
ROLL FACEMASK JAPANESE FLOWER 7G REV DES          ,7,REVERSE,PET-G,12,930
A004 MC LEWIS CHILI SAUCE 1KG ND                  ,7,REVERSE,NY-01,15,990
ROLL MADU TJ C1000 MULTILINE (NEW)                ,7,REVERSE,PET-G,12,990
CAT FOOD HEALTHY PET GOLD 7.5KG NEW TEKS          ,8,REVERSE,PET-G,12,990
FOIL SOFFELL K.JERUK SFPF12400 HALAL PET9         ,8,REVERSE,PET-G,9,990
BAG RENCENG TEH CAP BOTOL                         ,8,REVERSE,PET-G,12,840
BAG RENCENG TEH CELUP SOSRO                       ,8,REVERSE,PET-G,12,840
15002426 BAG SN SOSIS AYAM SEDAP 75G NEW DESIGN   ,7,REVERSE,NY-01,15,900
PM00012014 BAG WIP MYB 50 HM ROLL                 ,5,REVERSE,OPP - G,20,900
BAG BERAS ANAK RAJA LONG GRAIN 5KG (HIJAU)        ,7,REVERSE,NY-01,15,1080
ROLL CPP 4100 CHAINZ LIGHT GREEN 50MM X 25M       ,4,SURFACE,CPP-G,30,770
AL.FOIL INDOCAFE COFFEE-O 18G (E-3)               ,7,REVERSE,PET,12,1150
STP MINYAK MAHKOTA RATU 1000 ML                   ,6,REVERSE,NY-01,15,1110
STP MINYAK MAHKOTA RATU 2000 ML                   ,6,REVERSE,PET-G,12,1240
POP STAR PEANUT BUTTER 35G                        ,7,REVERSE,OPP - G,20,1050
44059627 NESTLE KK KRUNCH 32G NUTRISMARTA E       ,5,REVERSE,NY-01,15,830
6031547 ROLL TP BUMBU KRISPI PEDAS 70GR           ,7,REVERSE,PET-G,12,1120
ROLL MAXIGOAT COKELAT ASLI 20GR                   ,7,REVERSE,OPP - G,20,1110
LMNT DETTOL TH BW CLS 400G(3199504)               ,8,REVERSE,NY-01,15,1140
PLS INS3IN1 CFN MOCCA 20GR (PBK)                  ,7,REVERSE,PET-G,12,1120
PLS INS3IN1 CFN CLAS 20GR (PBK)                   ,8,REVERSE,PET-G,12,1120
FM OFF OVRTM LTN 6ML PH - SNOVA                   ,7,REVERSE,PET-G,12,930
68144563 WALLS PP DORAEMON APEL & RASPBERRY 60ML  ,6,SURFACE,OPP PEARLIZE,35,920
BAG BERAS KATA IBU 5KG                            ,7,REVERSE,NY-01,15,930
DJARUM SUPER 16 NEW USP - REV                     ,7,REVERSE,OPP,20,800
NASL-ST-K-130-RL-003(NANO SALSA STRO R3)          ,5,REVERSE,PET-G,12,1110
DJARUM SUPER 12 NEW USP - REV                     ,7,REVERSE,OPP,20,970
ETK MDRS ORI 3LINE 20G 1000M(ND2)                 ,6,REVERSE,OPP,20,1120
KTG SP 360 COCOPANDAN ND                          ,8,REVERSE,NY-01,15,770
SPK3047                                           ,5,REVERSE,NY-01,15,940
ETK MDRS JERUK 1 LINE 25G 1000M(ND4)              ,6,REVERSE,OPP,20,1030
PLS INS3IN1 CFN BOLD 30GR (PBK)                   ,8,REVERSE,PET-G,12,1120
KTG FOIL INDOSNACK POTATO CHIPS ORIGINAL 50GR     ,8,REVERSE,OPP MATTE,20,830
BAG GINGERBON ORIGINAL CHEWS 227G FLAT BOTTOM     ,8,REVERSE,OPP - G,20,1170
PLS INS3IN1 CFN CNUT 20GR (PBK)                   ,8,REVERSE,PET-G,12,1120
FOIL SENSA COOL VIETNAM R2 # 3001183              ,7,REVERSE,PET-G,12,990
TWBO-K-038-BW-RL-001(TWB 38 BROWN)                ,1,REVERSE,PET-G,12,1070
TWBO-K-038-GN-RL-001(TWB 38 GREEN)                ,1,REVERSE,PET-G,12,1070
HEXO-MT-K-020-SK-006(HEXO MINT20BTR SAK)          ,5,REVERSE,OPP - G,25,1020
LMNT DETOL MY BW ORI 450G JM(3122118)             ,7,REVERSE,NY-01,15,1030
LMNT DETOL GR LHW LAVD500ML(3151252)SPOT          ,8,REVERSE,PET-G,12,1020
KLOZ-SM-K-015-SC-004(KONLOZ-STRMINT-BAG)          ,6,REVERSE,OPP - G,25,840
BURGER BUN SESAME DIAMOND FAIR                    ,5,REVERSE,OPP - G,20,1070
ROLL SACHET SS CHICKEN CHILI 2UP                  ,5,REVERSE,PET-G,12,990
ROLL SACHET SS CHICKENT TOMAT 2UP                 ,5,REVERSE,PET-G,12,990
PIE BIS MONDE 190G QR CODE                        ,8,REVERSE,OPP MATTE,20,1050
GENJIE PIE SAND VANILLA 110GR (SNI) 2150 KKAL     ,7,REVERSE,OPP,20,900
GOLDEN FARM CORN KERNEL 500G RL QR CODE           ,6,REVERSE,OPP - G,20,1170
GF FRENCH FRIES COATED 500G RL QR CODE            ,6,REVERSE,OPP - G,20,1170
GOLDEN FARM MIXED VEGETABLES 1 KG ROLL QR CODE    ,6,REVERSE,OPP - G,20,950
68339564 ROLL LIFEBUOY MATCHA GREEN TEA 450ML NIPA,8,REVERSE,NY-01,15,1100
PLS GJH TA 7GR (PBK)                              ,8,REVERSE,PET-G,12,1235
ETK MDRS ORI 1 LINE 20G 1000M(ND2)                ,6,REVERSE,OPP,20,1030
PLS GJH TM 24GR (PBK)                             ,8,REVERSE,PET-G,12,1235
CAFFINO CHOCO HAZELNUT 20GRX10 OUTER POUCH        ,8,REVERSE,PET-G,12,1120
CAFFINO BOLD 30GR SACHET NEW TEKS                 ,8,SURFACE,PET-G,12,1120
CAFFINO BOLD 30GR OUTER POUCH NEW SIZE            ,8,REVERSE,PET-G,12,990
3000007077 ROLL AJTF                              ,6,REVERSE,OPP - G,18,970
SK-PL 780ML LAVEN@1000M'20-MIM(14011110)          ,6,REVERSE,NY-01,15,1200
1FM017020 FOIL BEJO HERBAL                        ,7,REVERSE,PET-G,12,750
LID CUP COCONA LYCHEE 160ML QR CODE               ,7,REVERSE,PET-G,12,780
ROLL CUCU CRISPY COKLAT 15G  NEW                  ,6,REVERSE,PET-G,12,930
BAG BERAS KATA IBU 10KG                           ,7,REVERSE,NY-01,15,770
KOK2341                                           ,5,REVERSE,NY-01,15,990
KOBH-K-007-SC-006(KONIDIN OBH 7ML R6)             ,6,REVERSE,PET-G,12,1110
EDO MANTAO COKLAT QR CODE (REV TEKS)              ,7,REVERSE,OPP-G,20,870
DAHLIA K21 IN ROLL                                ,8,REVERSE,OPP,20,900
LID 220 CHEERS NATURAL PANDAAN                    ,5,REVERSE,PET-G,12,750
107243 SACHET THOUSAND ISLAND 100GR 3UP ND        ,8,REVERSE,PET-G,12,1110
MC LEWIS SAUS BLACKPEPPER 1 KG                    ,7,REVERSE,PET,12,1100
NANO-KJ-K-005-RL-004 (NANO2 KULIT JERUK)          ,6,REVERSE,PET,12,1110
PPLS075 TULIP CHOCO WHITE COMP 1KG- QR CODE       ,7,REVERSE,PET,12,890
TOP FILM FARMHOUSE SOSIS SAPI 3 QR CODE           ,6,REVERSE,PET-G,12,840
BAG K205 DAHLIA MOTH BALL                         ,8,REVERSE,OPP,20,910
