Artikel,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
67820258 ICE CREAM SERU JAGUNG MANIS 98ML NEW     ,5,SURFACE,OPP PEARLIZE,35,980
ROLL SUSU KAMBING SAP 1C                          ,1,REVERSE,OPP - G,20,1110
ALF AFNUT CEREAL CHOCO 50GR-1185191               ,7,REVERSE,PET-G,12,925
ALF AFNUT CEREAL VANILLA 50GR-1185263             ,7,REVERSE,PET-G,12,925
KUSUKA 60GR RASA KEJU BAKAR NEW TEKS              ,7,REVERSE,PET-G,12,1050
KUSUKA 60GR RASA AYAM LADA HITAM ND,7,REVERSE,PET-G,12,1050
KUSUKA 180GR RASA AYAM LADA HITAM ND              ,7,REVERSE,PET-G,12,990
POLYROLL PFZPO034                                 ,8,REVERSE,PET-G,12,680
EDO MANTAO COKLAT (NEW TEXT-2018)                 ,7,REVERSE,OPP,20,870
ROLL SHANGOAT KURMA ASLI 20GR                     ,6,REVERSE,OPP - G,20,1110
ETIKET BUMIL LEMON LAMPUNG                        ,6,REVERSE,PET-G,12,925
ETIKET BALITA LAMPUNG                             ,6,REVERSE,PET-G,12,925
LID MINI JELLY POLOS (INACO) D24                  ,4,REVERSE,NY-02,15,650
C06768 STD POUCH SAMS ASLI 75GR                   ,7,REVERSE,PET-G,12,950
POUCH B001 TOMAT 1 KG                             ,6,REVERSE,PET-G,12,1100
STP FONTANA 400ML (R2)                            ,7,REVERSE,NY-01,15,820
CHOCODIP 50ML IM1 31 DES 2023 (NEW)               ,6,REVERSE,OPP - G,20,960
MARIMAS JERUK SINGLELINE VIT C                    ,8,REVERSE,PET-G,12,925
MARIMAS JERUK 7GR MLT NO.EXP                      ,8,REVERSE,PET-G,12,935
ROLL MC LEWIS A004 POLOS+EYEMARK 1KG              ,1,REVERSE,NY-01,15,990
PROSPER 85 WP 400GR                               ,8,REVERSE,PET-G,12,925
GGWF-GB-K-102-PR-RL-001(GGWF BBQ102PROMO)         ,6,REVERSE,PET-G,12,985
GGWF-GB-K-018-PR-RL-001(GETGIT BBQ 18 PROMO)      ,6,REVERSE,PET-G,12,1020
GGWF-GB-K-042-PR-RL-001(GETGIT BBQ 42 PROMO)      ,6,REVERSE,PET-G,12,985
POLYCELLO OVALTINE LOKAL 30GR (PM001270)          ,7,REVERSE,PET-G,12,1150
STDP CHEERFUL KARBOL CEMARA & JERUK NIPIS 800ML   ,7,REVERSE,NY-01,15,1060
MARIMAS ANGGUR 7GR MLT AUG'23                     ,8,REVERSE,PET-G,12,935
MARIMAS COCOPANDAN 7GR MLT AUG'23                 ,8,REVERSE,PET-G,12,935
MARIMAS KELAPA MUDA 7GR MLT AUG'23                ,8,REVERSE,PET-G,12,935
MARIMAS MANGGA 7GR SINGLELINE VIT C               ,8,REVERSE,PET-G,12,925
MARIMAS MANGGA 7GR MLT AUG'23 VIT C               ,8,REVERSE,PET-G,12,935
PB-066003 ROLL OUTERBAG SAMBAL DUA BELIBIS 9GR    ,7,REVERSE,OPP - G,20,1050
LMNT SAGTN DE LHW ALOE 500G (3151239)             ,8,REVERSE,PET-G,12,1020
"LMNT,DETOL,ID,LHW ORI 400G JM(3095141)            ",8,REVERSE,NY-01,15,1030
ROLL SWTR CLASSIC 1004MM T238-0018-007            ,6,REVERSE,PET,12,1045
KUSUKA 60GR RASA CHILI LEMON ND                   ,7,REVERSE,PET-G,12,1050
BAG SG533W NAPT BALL                              ,7,REVERSE,OPP,20,930
PB-051527 ROLL SACHET SAMBAL LAZATTO 9G           ,8,REVERSE,PET-G,12,985
ROLL SACHET DELMONTE TOMAT 8GR 12UP NEW           ,7,REVERSE,PET-G,12,985
HYDROMAMMA MIXED BERRY NEW DESIGN                 ,8,REVERSE,PET-G,12,990
HAPPY SOYA OIL 1L NEW DESIGN 2018                 ,8,SURFACE,PET,12,1120
KNGS-K-007-CA-SC-001(KONIMAG KAMBOJA)             ,5,REVERSE,PET,12,1110
PAID SAMPLE SAJIKU ROLL A1-PACKAGING              ,1,REVERSE,PET-G,12,925
ROLL SACHET LABBAIK SAMBAL CHILI 6UP NEW          ,6,REVERSE,PET-G,12,990
SACHET KUSUKA 400GR RASA ORIGINAL                 ,7,REVERSE,PET-G,12,1070
AL.FOIL IND CMIX GINSENG 20G (L/E-5)              ,7,REVERSE,OPP-G,20,1170
2000243 FOXS COFFEE CREME                         ,7,REVERSE,PET-G,12,930
2000244 FOXS CARAMEL CAPPUCINO                    ,7,REVERSE,PET,12,930
2000242 FOXS ORIGINAL COFFEE                      ,7,REVERSE,PET,12,930
BAGP ID VANISH CAMP 750ML(3193945)                ,8,REVERSE,PET-G,9,1120
2000245 FOXS COFFEE WORLD 90G                     ,8,REVERSE,OPP - G,20,930
2000145 FOX'S MINT BLOSSOM 125G                   ,7,REVERSE,OPP - G,20,930
BAG FANCY SEAWEED RIBOFLAVIN 450G                 ,8,REVERSE,OPP - G,20,1060
OATBITS VITAFRUITS 110GR NEW DESIGN               ,7,REVERSE,OPP - G,20,1060
LMNT VANISH ID LIQ 150ML(3193941)                 ,8,REVERSE,PET-G,9,925
"LMNT,VANISH,ID,LIQ 425ML(3193942)                 ",8,REVERSE,PET-G,9,1120
ETIKET GINS GINS BOOST SUPER STRENGTH             ,6,REVERSE,PET-G,12,930
ETIKET GINS GINS HARD DOUBLE STRENGTH             ,6,REVERSE,PET,12,930
LMNT DETTOL MY SKC 225ML (3204947)                ,8,REVERSE,NY-01,15,860
C06705 ALUFO FRUITY CHILI APEL MANGGA 16GR 8UP    ,7,REVERSE,PET-G,9,1120
WALLENS CHOCO SOES 100GR (BAG)                    ,6,REVERSE,PET-G,12,990
44107252 POUCH ZIPPER HONEYSTAR 70G               ,8,REVERSE,OPP,30,1120
68154737 ROLL ROYCO KALDU JAMUR 40G               ,8,SURFACE,PET-G,12,1170
44119394 HONEY STAR PEEL OFF 32GR NEW             ,6,REVERSE,NY-01,15,830
ROLL CHICAGO SAUS TOMAT 6LINE 1500M               ,5,REVERSE,PET-G,12,990
ROLL GULAKU TEBU 1KG                              ,6,REVERSE,OPP,20,810
"DESAKU KETUMBAR 12,5GR (DRY-DRY)                  ",7,REVERSE,PET-G,12,1045
I07257 STD POUCH MAYO 1 KG KURANG LEMAK           ,8,REVERSE,NY-01,15,1120
6027582 STP PASTA BOLOGNESE 315GR REV             ,7,REVERSE,PET-G,12,1020
6033198 STP DRESSING SOUCE KEJU 100GR             ,8,REVERSE,NY-01,15,770
POLYBAG MILO 22GR FREE TUMBLER                    ,7,REVERSE,OPP,20,1230
1FK044050 FOIL KOMIX OBH NEW                      ,8,REVERSE,PET-G,12,1130
1FK006070 FOIL KOMIX PEPPERMINT NEW               ,7,REVERSE,PET-G,12,1130
"PPLS086 TULIP DARK COMP CHOCOLATE 2,5KG NEW TKS   ",7,REVERSE,PET-G,12,1240
68427119 REEL LIFEBUOY YOGHURT 450ML NIPA         ,8,REVERSE,NY-01,15,1100
DAHLIA K315 NEW KEMENKES                          ,8,REVERSE,OPP,20,950
CAFFINO BOLD DARK CAPPUCCINO                      ,7,REVERSE,PET-G,12,1120
ETIKET BALITA JAWA TENGAH                         ,6,REVERSE,PET-G,12,925
ROLL SACHET DELMONTE EXTRA HOT 8GR 12UP NEW       ,7,REVERSE,PET-G,12,985
C06663 ALU FOIL SAMS 8GR 12UP                     ,7,REVERSE,PET-G,9,960
ROLL WALENS CHOCO SOES 100GR NEW SPEC             ,6,REVERSE,PET,12,990
SK-PL 780ML APPLE@1000M 20-MIM(14011109)          ,6,REVERSE,NY-01,15,1200
5 DAYS CROISSANT PEANUT BUTTER 60GR NEW           ,8,SURFACE,PET-G,12,840
3430003 FF N&N CHOCO ALMOND 30G NEWSPEC           ,7,REVERSE,OPP MATTE,20,1170
3430004 FF N&N MIXED BERRIES 30G NEWSPEC          ,8,REVERSE,OPP MATTE,20,1170
ROLL SACHET AMOTEE                                ,8,REVERSE,PET-G,12,990
SABANA SAUS TOMAT L/R                             ,5,REVERSE,PET,12,1150
PB-051526 ROLL SACHET SAMBAL D'BESTO 9G           ,7,REVERSE,PET-G,12,985
BLACK CURRANT TEA BAG ND(R3)                      ,8,REVERSE,OPP,20,1040
METALEZ LEMON TEA BAG(R4)                         ,6,REVERSE,OPP,20,1040
304648 P/P BB SOUR PINEAPPLE                      ,9,REVERSE,PET-G,12,1120
POUCH ZIPPER OISHI MOCHACCINO 110G                ,8,REVERSE,PET-G,12,1060
KUSUKA 20GR RASA JAGUNG AMERIKA                   ,7,REVERSE,PET-G,12,925
STP MAYONNAISE BANG AJI 1000G NEW SIZE            ,6,REVERSE,NY-01,15,1160
STP PCH HABIBAH DISH SOAP 780ML                   ,7,REVERSE,NY-01,15,985
GGWF-KE-K-018-JV-RL-001(GGWF KEJU JAVAINDO18G)    ,7,REVERSE,PET-G,12,1020
STP SEDAAP 1 LTR SAWIT(211010021)                 ,9,REVERSE,NY-01,15,1130
C06707 ALUFO FRUITY CHILI NANAS JERUK 16GR 8UP    ,7,REVERSE,PET-G,9,1120
STD POUCH SPAGHETTI 310GR                         ,7,REVERSE,PET-G,12,1020
SAMBAL EXTRA PEDAS (SBP) 550GR NEW                ,5,REVERSE,PET-G,12,930
67939068 POUCH ROYCO BUMBU KUNING 600G UNICODE    ,8,REVERSE,PET-G,12,1080
ETIKET BUMIL NANAS LAMPUNG                        ,6,REVERSE,PET-G,12,925
ETIKET BALITA JAKARTA                             ,3,REVERSE,PET-G,12,925
ETIKET BUMIL STRAWBERRY LAMPUNG                   ,6,REVERSE,PET-G,12,925
ETIKET BALITA JATIM                               ,6,REVERSE,PET-G,12,925
ETIKET BUMIL JAKARTA                              ,3,REVERSE,PET-G,12,925
ROLL PLASTIK GULAKU TEBU 1KG                      ,6,REVERSE,OPP,20,810
KTG SP 360 MANGO ND                               ,8,REVERSE,NY-01,15,770
68134005 SACHET SARIMURNI RB6 SAGA NEW EXP SEP 22 ,6,REVERSE,PET-G,9,920
KERNES CASSAVA CHIPS 150 GR ORIGINAL              ,8,SURFACE,PET,12,880
KERNES CASSAVA CHIPS 60 GR NACHO CHEESE           ,8,SURFACE,PET,12,880
KERNES CASSAVA CHIPS 150 GR NACHO CHEESE          ,8,SURFACE,PET,12,880
KERNES CASSAVA CHIPS 150GR BLACKPEPPER ND         ,8,SURFACE,PET,12,880
KUSUKA 180GR RASA RUMPUT LAUT IMPROVED FORMULA    ,7,REVERSE,PET,12,985
PLASTIK LAPIS LEGIT ORIGINAL MORISCA 365GR        ,7,REVERSE,NY-01,15,1030
MS 9GR MOJOKERTO - 122002653 (NEW SIZE)           ,7,REVERSE,OPP - G,18,1075
KUSUKA 60GR RASA RUMPUT LAUT IMPROVED FORMULA     ,7,REVERSE,PET,12,1045
MS 250GR KARAWANG - 122002526                     ,7,REVERSE,PET-G,12,1170
WOODS ORANGE REV FR UMUM OUTER-CH0264             ,7,REVERSE,OPP,20,840
POLYCELLO OVALTINE LOKAL 130G (PM001269)          ,7,REVERSE,PET-G,12,1020
ALF AFNUT CEREAL VANILLA 23GR-1185194             ,7,REVERSE,PET-G,12,1045
ALF AFNUT CEREAL CHOCO 22GR-1185198               ,7,REVERSE,PET-G,12,1045
CAFFINO CLASSIC 20GR E-RATUVIKA                   ,8,SURFACE,PET-G,12,1120
CAFFINO HAZELNUT STD POUCH E-RATUVIKA             ,8,SURFACE,PET-G,12,1150
BAG SG522W SEAGULL                                ,7,REVERSE,OPP,20,950
68761390 WRP PP CHOCO MAGMA RL3 50ML CHARMANDER   ,7,SURFACE,OPP PEARLIZE,30,970
68684513 POUCH BANGO KECAP RJVALU 1.525KG UNICODE ,8,REVERSE,PET-G,12,1080
CAFFINO HAZELNUT 20GR E-RATUVIKA                  ,8,REVERSE,PET-G,12,1120
CAFFINO MOCHA 20GR E-RATUVIKA                     ,7,SURFACE,PET-G,12,1120
POLYROLL PFZPO041                                 ,8,REVERSE,PET-G,12,680
LADAKU 3GR 15/09/24 DRY-DRY MLT                   ,7,REVERSE,PET-G,12,840
BAG SELAI MORIN 2KG                               ,1,REVERSE,NY-01,15,700
44059627 NESTLE KK KRUNCH 32G NUTRISMARTA W       ,5,REVERSE,NY-01,15,830
STD PCH SHILLOW PENCUCI PIRING 100ML              ,7,REVERSE,PET-G,12,770
ROLL SACHET TOP PROTEMIL DAGING 30GR              ,7,REVERSE,PET-G,12,930
68614763 RL RINSO PWD 460GR ROSE FRESH INV        ,7,REVERSE,PET-G,9,1230
BAG RELAXA PLAY FROZEN 40GR (NEW 2021) D-1        ,8,REVERSE,PET-G,12,1165
LMNT DETOL TH FHW ROSE 200G(3196539)              ,7,REVERSE,NY-01,15,860
BAG RELAXA PLAY FROZEN 40GR (NEW 2021) D-2        ,8,REVERSE,PET-G,12,1165
67939069 POUCH ROYCO BUMBU REMPAH 525G UNICODE    ,8,REVERSE,PET-G,12,1080
ROLL D'BESTO TOMATO SACHET 6 LINE NEW DESIGN      ,5,REVERSE,PET-G,12,990
KUSUKA 180GR RASA CHEESE BURGER                   ,7,REVERSE,PET-G,12,990
"LMNT,DETOL,MY,HW SNS 225G (3204948)               ",8,REVERSE,NY-01,15,860
SWTR CLASSIC 1020 84146-1300-603                  ,6,REVERSE,PET,12,1045
MA 9GR MOJOKERTO - 122002654 (NEW SIZE)           ,7,REVERSE,OPP - G,18,1075
LMNT DETOL MY HW ORI 225G (3204946)               ,6,REVERSE,NY-01,15,860
POLYBAG AYANA 5KG NEW DESIGN                      ,7,REVERSE,NY-01,15,950
44087701 NESCAFE FLOW WRAP MEDIUM                 ,2,REVERSE,OPP - G,20,850
6031576 ROLL BON NORI 5GR SPICY                   ,6,REVERSE,PET-G,12,990
ROLL TEPUNG CITRA PUTRI 250G NEW                  ,3,REVERSE,OPP - G,20,810
ROLL SUNLIGHT 2 IN 1 270G ND                      ,5,REVERSE,PET-G,12,925
44087421 MILO 3IN1 1KG                            ,7,REVERSE,PET-G,12,930
44087420 MILO TONIC 1KG                           ,7,REVERSE,PET-G,12,930
ROLL MC LEWIS TOMATO SACHET 6 LINE QR 1500M       ,5,REVERSE,PET-G,12,990
ALF HK MILK CEREAL 30GR                           ,6,REVERSE,PET-G,12,1045
5 DAYS CROISSANT CHOCOLATE 60GR NEW               ,8,REVERSE,PET-G,12,840
DUA DEWI GINGER HONEY 15ML (CAMBODIA) MLT         ,8,REVERSE,PET-G,12,1030
PM00010881 BAG MYB WIPES ANTI BACTERIAL 10S       ,7,REVERSE,OPP,20,1030
5 DAYS CROISSANT MIXED BERRIES 60GR NEW           ,8,SURFACE,PET-G,12,840
107206 STD POUCH DELMONTE TASTY CHILI 200GR       ,7,REVERSE,PET-G,12,800
CAFFINO BOLD 30GR E-CHINA POUCH                   ,8,SURFACE,PET-G,12,680
107282 STD POUCH MAYO KURANG LEMAK 180GR          ,8,REVERSE,PET-G,12,800
SAUS CABE MERAH PUTIH 500GR - BPOM +SNI - BBP105  ,5,REVERSE,NY-01,15,930
PPLS070-ROLL TULIP MILK COMPOUND 1KG - 3          ,7,REVERSE,PET-G,12,890
6031629 STP SAUS JAPCHAE 100GR SPICY              ,7,REVERSE,NYLON,15,770
6031632STP SAUS TOPOKKI 100GR SPICY               ,7,REVERSE,NY-01,15,770
GGWF-CO-K-018-JV-RL-001(GGWF CHOC JAVAINDO18G)    ,7,REVERSE,PET-G,12,1020
EDO MANTAO PLAIN (NEW MD 2021)                    ,7,REVERSE,OPP - G,20,900
STP ROBOTIC OIL 900ML                             ,3,REVERSE,NY-01,15,1080
GGWF-KE-K-042-JV-RL-001(GGWF KEJU JAVAINDO42G)    ,7,REVERSE,PET,12,985
STD PCH JELLY PELANGI RASA LECI 500G              ,6,REVERSE,NY-01,15,1010
ROLL MC LEWIS CHILI SACHET 6LINE 1500M            ,5,REVERSE,PET,12,990
AL.FOIL WESTIN CAFE MILD BLEND 150G (E-4)         ,7,REVERSE,PET,12,1110
6031576 ROLL BON NORI 5GR SPICY NEW REEL LENGTH   ,6,REVERSE,PET,12,985
6032214 ROLL BON NORI 5GR BULGOGI                 ,7,REVERSE,PET,12,985
WOODS HONEY LEMON ZIPLOCK - CH0293                ,8,REVERSE,PET,12,935
WOODS E.STRONG ORIGINAL ZIPLOCK-CH0294            ,8,REVERSE,PET,12,935
6031549 ROLL TPG BUMBU KRISPI SERBAGUNA 35GR      ,8,REVERSE,PET,12,1165
EDO PIZZA BASE 120G NEW DESIGN (2021)             ,7,REVERSE,OPP,20,810
PLS INS3IN1 CFN CNUT 20GR (PBK)**                 ,8,REVERSE,PET-G,12,1120
"LMNT,VANISH,ID PINK 250ML (3162058)               ",8,REVERSE,PET,12,880
"DESAKU BUBUK KUNYIT 7,5GR (DRY-DRY) 1/9/24        ",7,REVERSE,PET-G,12,1020
DJARUM MLD 16 JAZZ                                ,6,REVERSE,OPP,20,970
DJARUM MLD BLACK SERIES 12 JAZZ                   ,5,REVERSE,OPP,20,970
LMNT DETOL ID BW FRS 250G(3202510)                ,8,REVERSE,NY-01,15,840
3000006414 ROLL GF2 OPP18                         ,6,REVERSE,OPP - G,18,970
CAFFINO BOLD 30GR E-CHINA SACHET                  ,8,REVERSE,PET-G,12,1120
WOODS ORIGINAL SINGAPORE NEW - CH0287             ,7,REVERSE,OPP - G,20,840
GGWF-KE-K-102-JV-RL-001(GGWF KEJU JAVAINDO102G)   ,7,REVERSE,PET-G,12,985
CAFFINO HAZELNUT 20GR E-USA                       ,8,REVERSE,PET-G,12,1120
PLS INS3IN1 CFN CLAS 20GR (PBK)**                 ,8,REVERSE,PET-G,12,1120
AL FOIL ANTANGIN CAIR 8L CANGKIR(R6)              ,6,REVERSE,PET-G,12,990
CAFFINO CLASSIC 20GR E-USA                        ,8,REVERSE,PET-G,12,1120
CAT FOOD HEALTHY PET GOLD 1.5KG NEW MATTE         ,7,REVERSE,PET-G,12,1240
BAG ANTANGIN PERMEN MADU MINT HALAL               ,6,REVERSE,OPP - G,20,840
WOODS ORIGINAL REV FR UMUM OUTER-CH0261           ,7,REVERSE,OPP,20,840
6027772 ROLL KOPI GINSENG ND                      ,8,REVERSE,PET-G,12,930
LID CHOYO EASY PEEL 360 NEW                       ,6,REVERSE,PET-G,12,1110
AL.FOIL IND CMIX ESPRESSO 15GR (SSC-1)            ,7,REVERSE,PET-G,12,925
15002508 ROLL SOGOOD CHICKEN STICK PREMIUM 400G   ,8,REVERSE,NY-01,15,870
INNER ANTANGIN BARLEY MINT(NEW KODE POS)          ,6,REVERSE,PET-G,12,1080
INNER ANTANGIN MADU MINT(NEW KODE POS)            ,6,REVERSE,PET-G,12,1080
CO6679 GOURMET CHILI RAW MANGO 8GR 12UP NONSPLIT  ,8,REVERSE,PET-G,9,960
ETIKET BALITA SULSEL                              ,3,REVERSE,PET-G,12,925
MARIMAS MANGGA ARUMANIS 7GR SINGLELINE BARCODE    ,8,REVERSE,PET-G,12,930
MARIMAS ANGGUR 7GR SINGLELINE + VIT C             ,8,REVERSE,PET-G,12,930
STANDING POUCH JELLY PELANGI JUNIOR 500GR         ,6,REVERSE,NY-01,15,1010
KTG SP 360 VANILLA ND 4000024                     ,8,REVERSE,NY-01,15,770
LID MINI JELLY LYCHEE D24 BEKASI ND 4000145       ,6,REVERSE,NY-01,15,650
68668451 ROLL ROYCO RASA SAPI 1KG BVI AWI         ,8,REVERSE,OPP,25,1170
68682331 ROLL ROYCO RASA SAPI 460G BVI AWI        ,8,REVERSE,OPP - G,20,990
PM00012015 BAG WIP MYB 75 GC ROLL                 ,6,REVERSE,OPP-G,20,960
PM00012011 BAG WIP MYB 50 GC ROLL                 ,6,REVERSE,OPP-G,20,900
BJGR-K-015-SR-001(HD WEDANG BAJIGUR)              ,8,REVERSE,PET-G,12,985
BAG WALLENS CHOCO SOES 100 G (NEW)                ,6,REVERSE,PET-G,12,985
MONDE LEMON PUFF 100GR (REVISI TEKS)              ,6,REVERSE,OPP - G,20,1150
POLYBAG AYANA MERAH 5KG                           ,8,REVERSE,NY-01,15,950
6033475 ROLL SAUS RTC TOPOKI ORI 32GR MULTILINE   ,2,REVERSE,NY-01,15,900
ROLL D'BESTO CHILI SACHET 6LINE NEW DESIGN 1500M  ,5,REVERSE,PET-G,12,990
SACHET HARUM SARI EW 13G AM                       ,6,REVERSE,OPP - G,20,990
ROLL TB4 TRIAL SUSTAIN                            ,7,REVERSE,OPP - G,20,1075
BAG BERAS PUTRI KOKI ORANGE 5KG                   ,8,REVERSE,NY-01,15,950
GENJIE PIE SAND CHOCOLATE 110 GR (QR CODE)        ,7,REVERSE,OPP - G,20,900
HEXO-MT-K-005-SC-006(HEXOS MINT ISI 5)            ,5,REVERSE,OPP - G,25,850
KLOZ-SM-K-015-RL-001(KON-LOZ-STRMINT-RL)          ,2,REVERSE,PET-G,12,1110
ROLL SAUS SAMBAL ARABIAN KEBAB 1KG                ,7,REVERSE,NYLON,15,990
15002507 ROLL SOGOOD CHICKEN NUGGET PREMIUM 400G  ,8,REVERSE,NY-01,15,880
68682328 ROLL KNORR MUSHROOM 400G                 ,7,REVERSE,OPP - G,20,990
68682333 ROLL ROYCO KUAH BAKSO 100G BVI           ,8,REVERSE,OPP - G,20,1165
ETIKET BUMIL STRAWBERRY SULUT                     ,6,REVERSE,PET-G,12,925
ETIKET BALITA SULUT                               ,6,REVERSE,PET-G,12,925
CLOVER LOOTBAG OUTERPACK NEW 2020                 ,8,REVERSE,OPP - G,20,820
CHEEZY LOOTBAG OUTERPACK NEW 2020                 ,7,REVERSE,OPP - G,20,820
WOODS BLACKCURRANT ZIPLOCK - CH0295               ,8,REVERSE,PET-G,12,935
BAG GROWERS SWEET POTATO 450G                     ,7,REVERSE,OPP - G,20,720
ROLL DAHANA DAYADET 29MM                          ,5,REVERSE,PET,12,1150
JUST FRY SHOESTRING 900G ROLL QR CODE             ,4,REVERSE,OPP - G,20,950
SACHET KUSUKA 400GR RASA BARBEQUE NEW             ,7,REVERSE,PET-G,12,1070
KUSUKA 180GR RASA BARBEQUE NEW                    ,7,REVERSE,PET-G,12,985
68682332 ROLL ROYCO RASA AYAM 460G BVI AWI        ,8,REVERSE,OPP - G,20,990
SUJA-K-020-SR-001(HD SUSUJAHE)                    ,8,REVERSE,PET-G,12,985
ROLL ROYCO BEEF 230G TRIAL SUSTAIN 68411994       ,4,REVERSE,OPP - G,18,1170
KLOZ-HM-K-015-SC-004(KONLOZ HRBMINT-BAG)R4        ,7,REVERSE,OPP - G,25,840
6028797 ROLL SUSHI NORI 20GR                      ,8,REVERSE,PET-G,12,870
P0004214 P.ROLL JUMBO CHA MILK CHOC 7GR 7LINE     ,8,REVERSE,PET-G,12,930
STD PCH JELLY PELANGI RASA LECI 1000G             ,6,REVERSE,NY-01,15,1030
ROLL WALENS CHOCO SOES 100 G (NEW)                ,6,REVERSE,PET,12,985
ROLL SACHET DRAOS TOP TOMAT 6LINE                 ,5,REVERSE,PET-G,12,990
ROLL SACHET D'RAOS TOP CHILI 6LINE                ,5,REVERSE,PET-G,12,990
STP MC LEWIS SAUS SPAGHETTI 1 KG ND               ,7,REVERSE,PET-G,12,1100
DAHLIA K 313 TOILET BALL ND (BAG K313)            ,8,REVERSE,PET,12,1050
DAHLIA K31 AROMATIC GREEN (BAG K31 AR)            ,7,REVERSE,PET-G,12,1050
RML NS STR 11GR (0119-2318-010)                   ,6,REVERSE,PET-G,12,935
BAG RELAXA PLAY LITTLE PONY PINK 40GR             ,8,REVERSE,PET-G,12,1165
BAG RELAXA PLAY LITTLE PONY BLUE 40GR             ,8,REVERSE,PET-G,12,1165
CAFFINO BOLD 27GR 12 BAHASA ROLL                  ,8,REVERSE,PET-G,12,1120
CAFFINO CLASSIC 2 BAHASA STICKPACK                ,8,REVERSE,PET-G,12,1120
PF TBS ORIGINAL 75G (ML5-6000) KODE UNIK - 4210016,8,REVERSE,OPP - G,20,1180
PF TBW 90 (ML5-6000M) KODE UNIK - 421001623       ,8,REVERSE,OPP-G,20,1180
PF TBAK 75G (ML5-6000) KODE UNIK - 421001619      ,8,REVERSE,OPP - G,20,1180
BAG RELAXA PLAY TRANSFORMER ORANGE 40GR (OPTIMUS) ,8,REVERSE,PET-G,12,1165
BAG RELAXA PLAY TRANSFORMER GREEN 40GR (BUMBLEBEE),8,REVERSE,PET-G,12,1165
5 DAYS CROISSANT FAMILY PACK REV.                 ,8,REVERSE,PET-G,12,1195
PLS INS3IN1 CFN MOCCA 20GR (PBK)**                ,7,REVERSE,PET-G,12,1120
ROLL CUCU CISPY PANDAN 15G                        ,7,REVERSE,PET-G,12,930
BAG GUSSET MIPAO COKLAT ISI 30PCS                 ,8,REVERSE,PET-G,12,1195
PF TPG VANILLA 75G (ML5-6000M) KODE UNIK-421001621,8,REVERSE,OPP - G,20,1180
PCH10 GJH TM 24GR (R1)                            ,8,REVERSE,PET-G,12,1070
2031202121 CELLO TORABIKA MOKA 28GR ID            ,9,REVERSE,PET,12,1080
68339562 ROLL LIFEBUOY HONEY HABBATUSAUDA 450ML ND,9,REVERSE,NY-01,15,1100
POLYBAG SAUS TOMAT 9GR (3000-ND0217) (421000399)  ,8,REVERSE,OPP - G,20,1110
