NoJI,Mesin,Tanggal SUP,,
7804A 0A,CERUTI.1                                          ,8/5/2021,,CERUTI.1
5887 4G,CERUTI.1                                          ,8/5/2021,,CERUTI.1
5660 6K,CERUTI.1                                          ,8/5/2021,,CERUTI.1
4989 11Q,CERUTI.1                                          ,8/5/2021,,CERUTI.1
7808 0A,CERUTI.1                                          ,8/5/2021,,CERUTI.1
4990 11Q,CERUTI.1                                          ,8/5/2021,,CERUTI.1
7779 1A,CERUTI.1                                          ,8/5/2021,,CERUTI.1
5830 3F,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6151 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7510 0D,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6737 1B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7663 1B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6382 0B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7781 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6004 4G,CERUTI.2                                          ,8/5/2021,,CERUTI.2
4438 1E,CERUTI.2                                          ,8/5/2021,,CERUTI.2
3495A 1G,CERUTI.2                                          ,8/5/2021,,CERUTI.2
5744 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7810 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6258 2E,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7077 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7632 0C,CERUTI.2                                          ,8/5/2021,,CERUTI.2
1153 5J,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6817 0B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6819 0B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6818 0B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7699A 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6794 0C,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6543 1B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
5813 0C,CERUTI.2                                          ,8/5/2021,,CERUTI.2
2205 2E,CERUTI.2                                          ,8/5/2021,,CERUTI.2
4869 5H,CERUTI.2                                          ,8/5/2021,,CERUTI.2
5565 3E,CERUTI.2                                          ,8/5/2021,,CERUTI.2
3067 2C,CERUTI.2                                          ,8/5/2021,,CERUTI.2
3066 2C,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7229 1D,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6162 1B,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7835 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
6590 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7706 0B,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7809 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
7799 0A,CERUTI.2                                          ,8/5/2021,,CERUTI.2
5378 0E,CERUTI.2                                          ,8/5/2021,,CERUTI.2
5868 1E,CERUTI.3                                          ,8/5/2021,,CERUTI.3
7124 0D,CERUTI.3                                          ,8/5/2021,,CERUTI.3
3101A 3L,CERUTI.3                                          ,8/6/2021,,CERUTI.3
6940 1B,CERUTI.2                                          ,8/6/2021,,CERUTI.2
7803 0A,CERUTI.2                                          ,8/9/2021,,CERUTI.2
7792 0A,CERUTI.5,8/9/2021,,CERUTI.5
5711 3H,CERUTI.3                                          ,8/6/2021,,CERUTI.3
5312 4I,CERUTI.3                                          ,8/6/2021,,CERUTI.3
5505 1C,CERUTI.3                                          ,8/6/2021,,CERUTI.3
6473 2F,CERUTI.3                                          ,8/6/2021,,CERUTI.3
1482 3E,CERUTI.3                                          ,8/6/2021,,CERUTI.3
7842 0A,CERUTI.3                                          ,8/6/2021,,CERUTI.3
7846 0A,CERUTI.5,8/6/2021,,CERUTI.5
6003 4G,CERUTI.5,8/6/2021,,CERUTI.5
7492 0B,CERUTI.5,8/6/2021,,CERUTI.5
5826 1C,CERUTI.5,8/25/2021,,CERUTI.5
4140 1F,CERUTI.3                                          ,8/6/2021,,CERUTI.3
2793 7K,CERUTI.3                                          ,8/6/2021,,CERUTI.3
6264 2E,CERUTI.3                                          ,8/13/2021,,CERUTI.3
5172 2E,CERUTI.3                                          ,8/6/2021,,CERUTI.3
5171 2E,CERUTI.3                                          ,8/6/2021,,CERUTI.3
5642 0D,CERUTI.2                                          ,8/6/2021,,CERUTI.2
2990 0D,CERUTI.2                                          ,8/6/2021,,CERUTI.2
7780 0A,CERUTI.1                                          ,8/9/2021,,CERUTI.1
2221 4E,CERUTI.1                                          ,8/9/2021,,CERUTI.1
2095 4E,CERUTI.1                                          ,8/9/2021,,CERUTI.1
7281 1A,CERUTI.5,8/10/2021,,CERUTI.5
5132 5O,CERUTI.3                                          ,8/10/2021,,CERUTI.3
5312 4J,CERUTI.3                                          ,8/11/2021,,CERUTI.3
5311 4L,CERUTI.3                                          ,8/11/2021,,CERUTI.3
3109A 1D,CERUTI.2                                          ,8/14/2021,,CERUTI.2
7802 0A,CERUTI.1                                          ,8/16/2021,,CERUTI.1
5296A 1C,CERUTI.2                                          ,8/17/2021,,CERUTI.2
6056 0F,CERUTI.2                                          ,8/18/2021,,CERUTI.2
7739A 0A,CERUTI.1                                          ,8/18/2021,,CERUTI.1
7821 0A,CERUTI.3                                          ,8/18/2021,,CERUTI.3
6045A 4B,CERUTI.5,8/18/2021,,CERUTI.5
7834 0A,CERUTI.1                                          ,8/18/2021,,CERUTI.1
6438 0A,CERUTI.1                                          ,8/19/2021,,CERUTI.1
5714 3D,CERUTI.3                                          ,8/19/2021,,CERUTI.3
6282 0A,CERUTI.2                                          ,8/19/2021,,CERUTI.2
7872 0A,CERUTI.2                                          ,8/20/2021,,CERUTI.2
7877 0A,CERUTI.3                                          ,8/20/2021,,CERUTI.3
7862 0A,CERUTI.1                                          ,8/20/2021,,CERUTI.1
7863 0A,CERUTI.1                                          ,8/20/2021,,CERUTI.1
7876 0A,CERUTI.2                                          ,8/20/2021,,CERUTI.2
5868 2E,CERUTI.1                                          ,8/21/2021,,CERUTI.1
1173A 9G,CERUTI.1                                          ,8/21/2021,,CERUTI.1
5142 21U,CERUTI.3                                          ,8/22/2021,,CERUTI.3
4723 0E,CERUTI.2                                          ,8/22/2021,,CERUTI.2
4721 0D,CERUTI.2                                          ,8/22/2021,,CERUTI.2
4725 0D,CERUTI.2                                          ,8/22/2021,,CERUTI.2
4724 1G,CERUTI.2                                          ,8/22/2021,,CERUTI.2
6743 1C,CERUTI.2                                          ,8/23/2021,,CERUTI.2
7843 0A,CERUTI.1                                          ,8/23/2021,,CERUTI.1
4525 3H,CERUTI.3                                          ,8/23/2021,,CERUTI.3
2803 9T,CERUTI.5,8/23/2021,,CERUTI.5
5298 2F,CERUTI.2                                          ,8/23/2021,,CERUTI.2
5373 3F,CERUTI.2                                          ,8/23/2021,,CERUTI.2
1635 5J,CERUTI.3                                          ,8/24/2021,,CERUTI.3
7405 0D,CERUTI.3                                          ,8/24/2021,,CERUTI.3
4523 3D,CERUTI.1                                          ,8/24/2021,,CERUTI.1
7837 0A,CERUTI.2                                          ,8/24/2021,,CERUTI.2
7836 0A,CERUTI.1                                          ,8/24/2021,,CERUTI.1
6995 0C,CERUTI.3                                          ,8/24/2021,,CERUTI.3
7664 0B,CERUTI.1                                          ,8/24/2021,,CERUTI.1
6993 0C,CERUTI.3                                          ,8/25/2021,,CERUTI.3
7853 0A,CERUTI.2                                          ,8/25/2021,,CERUTI.2
2580 8S,CERUTI.1                                          ,8/25/2021,,CERUTI.1
2750A 7T,CERUTI.3                                          ,8/25/2021,,CERUTI.3
6666 1G,CERUTI.3                                          ,8/26/2021,,CERUTI.3
6994 0C,CERUTI.3                                          ,8/26/2021,,CERUTI.3
5409A 1E,CERUTI.1                                          ,8/27/2021,,CERUTI.1
6996 0C,CERUTI.3                                          ,8/27/2021,,CERUTI.3
7702 0A,CERUTI.1                                          ,8/27/2021,,CERUTI.1
7489 1C,CERUTI.3                                          ,8/27/2021,,CERUTI.3
6270 0A,CERUTI.1                                          ,8/28/2021,,CERUTI.1
5027 2C,CERUTI.1                                          ,8/29/2021,,CERUTI.1
7841 0A,CERUTI.3                                          ,8/30/2021,,CERUTI.3
7861 0A,CERUTI.1                                          ,8/30/2021,,CERUTI.1
7307 0C,CERUTI.3                                          ,8/31/2021,,CERUTI.3
7875 0A,CERUTI.3                                          ,8/31/2021,,CERUTI.3
5865 2C,CERUTI.2                                          ,8/31/2021,,CERUTI.2
7873 0A,CERUTI.3                                          ,8/31/2021,,CERUTI.3
6281 0A,CERUTI.2                                          ,8/31/2021,,CERUTI.2
3977 2J,CERUTI.1                                          ,8/31/2021,,CERUTI.1
6742 0B,CERUTI.2                                          ,9/1/2021,,CERUTI.2
5858 1B,CERUTI.2                                          ,9/1/2021,,CERUTI.2
7509 1D,CERUTI.1                                          ,9/1/2021,,CERUTI.1
3698 9N,CERUTI.5,9/1/2021,,CERUTI.5
6286 1B,CERUTI.2                                          ,9/1/2021,,CERUTI.2
6611 2C,CERUTI.1                                          ,9/2/2021,,CERUTI.1
7166 0A,CERUTI.2                                          ,9/2/2021,,CERUTI.2
7050 0A,CERUTI.2                                          ,9/2/2021,,CERUTI.2
3523 3E,CERUTI.3                                          ,9/3/2021,,CERUTI.3
2782 7K,CERUTI.1                                          ,9/3/2021,,CERUTI.1
7130 0A,CERUTI.1                                          ,9/3/2021,,CERUTI.1
7128 0A,CERUTI.1                                          ,9/4/2021,,CERUTI.1
6339 1H,CERUTI.5,9/4/2021,,CERUTI.5
3978 2J,CERUTI.2                                          ,9/4/2021,,CERUTI.2
7536 0B,CERUTI.1                                          ,9/4/2021,,CERUTI.1
6247 2G,CERUTI.3                                          ,9/4/2021,,CERUTI.3
6838 1C,CERUTI.2                                          ,9/4/2021,,CERUTI.2
5951 1B,CERUTI.2                                          ,9/5/2021,,CERUTI.2
3084 3I,CERUTI.1                                          ,9/5/2021,,CERUTI.1
6246 2H,CERUTI.3                                          ,9/5/2021,,CERUTI.3
5620 1C,CERUTI.1                                          ,9/5/2021,,CERUTI.1
6931 0A,CERUTI.3                                          ,9/5/2021,,CERUTI.3
3634 3K,CERUTI.1                                          ,9/5/2021,,CERUTI.1
4818 2E,CERUTI.1                                          ,9/6/2021,,CERUTI.1
2499 3F,CERUTI.2                                          ,9/6/2021,,CERUTI.2
7090 0A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7091 0A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
4521 3H,CERUTI.1                                          ,9/6/2021,,CERUTI.1
5868 2F,CERUTI.1                                          ,9/6/2021,,CERUTI.1
5887 4H,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7881 0A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
2859 6G,CERUTI.1                                          ,9/6/2021,,CERUTI.1
3932A 0D,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7822 0A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7306 0A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7834 1A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7835 1A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
7668 0C,CERUTI.1                                          ,9/6/2021,,CERUTI.1
3979 3J,CERUTI.1                                          ,9/6/2021,,CERUTI.1
1200 4I,CERUTI.2                                          ,9/6/2021,,CERUTI.2
7050 0C,CERUTI.2                                          ,9/6/2021,,CERUTI.2
5293 2G,CERUTI.2                                          ,9/6/2021,,CERUTI.2
7607 0A,CERUTI.2                                          ,9/6/2021,,CERUTI.2
5259 2E,CERUTI.2                                          ,9/6/2021,,CERUTI.2
5261 2D,CERUTI.2                                          ,9/6/2021,,CERUTI.2
7142 0B,CERUTI.2                                          ,9/6/2021,,CERUTI.2
4285 3F,CERUTI.2                                          ,9/6/2021,,CERUTI.2
7791 1B,CERUTI.3                                          ,9/8/2021,,CERUTI.3
5622 1C,CERUTI.2                                          ,9/6/2021,,CERUTI.2
7595 1B,CERUTI.3                                          ,9/7/2021,,CERUTI.3
7851 0A,CERUTI.2                                          ,9/7/2021,,CERUTI.2
7850 0A,CERUTI.2                                          ,9/7/2021,,CERUTI.2
6071 1B,CERUTI.2                                          ,9/7/2021,,CERUTI.2
3543 8Q,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6930 0A,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6943 0A,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6506 1E,CERUTI.3                                          ,9/7/2021,,CERUTI.3
7819 0A,CERUTI.1                                          ,9/7/2021,,CERUTI.1
6783 1B,CERUTI.3                                          ,9/7/2021,,CERUTI.3
7789 1B,CERUTI.3                                          ,9/7/2021,,CERUTI.3
7842 0B,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6601 1F,CERUTI.3                                          ,9/7/2021,,CERUTI.3
1701 11P,CERUTI.5,9/7/2021,,CERUTI.5
6787 0A,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6837 0C,CERUTI.3                                          ,9/7/2021,,CERUTI.3
5575 2C,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6002 1G,CERUTI.3                                          ,9/7/2021,,CERUTI.3
1736 5G,CERUTI.3                                          ,9/7/2021,,CERUTI.3
1633 5I,CERUTI.3                                          ,9/7/2021,,CERUTI.3
6718 0C,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5976 1D,CERUTI.3                                          ,9/7/2021,,CERUTI.3
5587 1B,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7470 1B,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7893 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
4522 3H,CERUTI.1                                          ,9/8/2021,,CERUTI.1
1748 5I,CERUTI.1                                          ,9/8/2021,,CERUTI.1
1735 6J,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7838 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7930 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
5661 5F,CERUTI.1                                          ,9/8/2021,,CERUTI.1
1492 12M,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7904 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
0272A 8H,CERUTI.1                                          ,9/8/2021,,CERUTI.1
2574 5I,CERUTI.1                                          ,9/8/2021,,CERUTI.1
6573 0E,CERUTI.1                                          ,9/8/2021,,CERUTI.1
4645 4E,CERUTI.1                                          ,9/8/2021,,CERUTI.1
4803 2F,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7396 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
6776 1B,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7912 0B,CERUTI.1                                          ,9/8/2021,,CERUTI.1
6590 2B,CERUTI.1                                          ,9/8/2021,,CERUTI.1
3798 3E,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7909 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7927 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
3976 2J,CERUTI.1                                          ,9/8/2021,,CERUTI.1
2680 5H,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7933 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7934 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
3113 4F,CERUTI.1                                          ,9/8/2021,,CERUTI.1
3975 4E,CERUTI.1                                          ,9/8/2021,,CERUTI.1
2239 1E,CERUTI.1                                          ,9/8/2021,,CERUTI.1
5958 0E,CERUTI.1                                          ,9/8/2021,,CERUTI.1
5415 2I,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7258 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7903 0A,CERUTI.2                                          ,9/8/2021,,CERUTI.2
7891 0A,CERUTI.1                                          ,9/8/2021,,CERUTI.1
7187 0B,CERUTI.2                                          ,9/8/2021,,CERUTI.2
6768 0E,CERUTI.2                                          ,9/8/2021,,CERUTI.2
7929 0A,CERUTI.2                                          ,9/8/2021,,CERUTI.2
7931 0A,CERUTI.2                                          ,9/8/2021,,CERUTI.2
5354 2D,CERUTI.2                                          ,9/8/2021,,CERUTI.2
5353 2D,CERUTI.2                                          ,9/8/2021,,CERUTI.2
5260 2E,CERUTI.2                                          ,9/8/2021,,CERUTI.2
5207 1B,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5598 0B,CERUTI.2                                          ,9/9/2021,,CERUTI.2
3050 2D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6101 1D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5498 2D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4613 4J,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5294 1F,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5385 1F,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5297 2G,CERUTI.2                                          ,9/9/2021,,CERUTI.2
2840 6M,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4804 2F,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7916 0B,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7906 0A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
2223 4G,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7814 0A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
3799 8M,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7320A 0A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7448 1B,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6963 1D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6962 1D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4140 2G,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6475 0D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6474 0D,CERUTI.2                                          ,9/9/2021,,CERUTI.2
4174A 1E,CERUTI.2                                          ,9/9/2021,,CERUTI.2
2796 5E,CERUTI.2                                          ,9/9/2021,,CERUTI.2
5723 0C,CERUTI.2                                          ,9/9/2021,,CERUTI.2
7910 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7887 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7888 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7439 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7890 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7894 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7896 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7897 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7874 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7889 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7836 0B,HELIOSTAR 1                                       ,9/9/2021,,HELIOSTAR 1
7148 1C,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7790 1B,CERUTI.3                                          ,9/9/2021,,CERUTI.3
6757 1B,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7919 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
5931 0B,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7895 0A,CERUTI.3                                          ,9/9/2021,,CERUTI.3
7168A 1C,CERUTI.3                                          ,9/9/2021,,CERUTI.3
4320 1G,CERUTI.5,9/9/2021,,CERUTI.5
5906 1I,CERUTI.5,9/9/2021,,CERUTI.5
7201 1D,CERUTI.5,9/10/2021,,CERUTI.5
4525 0D,CERUTI.2                                          ,9/13/2021,,CERUTI.2
